title,risk_factor,abstract,cord_uid
"Kawasaki disease, autoimmune disorders, and cancer: a register-based study",cancer,"Kawasaki disease has well-described cardiovascular complications. However, the association to autoimmunity and cancer in the long term is not well described. We investigated theses associations using a registry-based matched cohort follow-up study of patients diagnosed with Kawasaki disease. Patients with Kawasaki disease were included and matched 1:5 to a population control group, matched by birth year, sex and incident month of the Kawasaki disease diagnosis. A total of 820 cases < 21 years of age were identified. Median age at diagnosis was 3 years. Median follow-up time was 12 years. Patients with KD were at higher risk of being diagnosed with ischaemic heart disease at 10 years (HR 39.94 (95% CI 5.00??19.28)) and 30 years (HR 8.33 (95% CI 3.03??2.91)). The 10-, 20- and 30-year risks of developing autoimmune disorders were HR 4.23 (95% CI 3.01??.94), HR 3.23 (95% CI 2.44??.29) and 2.83 (95% CI, 2.17??.68), all p < 0.001. Cancer risk was increased after 30 years (HR 2.42 (95% CI, 1.09??.34)). All-cause mortality after 35 years was also significantly increased (HR 3.14 (95% CI, 1.03??.60)). Children with KD have increased long-term risks of ischaemic heart disease also of autoimmune disease and cancer, as well as an increased all-cause mortality. The surprisingly increased risk of autoimmunity must be investigated further.",dcx1lpfk
"Persistent digital divide in health-related internet use among cancer survivors: findings from the Health Information National Trends Survey, 2003??018",cancer,"PURPOSE: Prior research on the use of the internet among cancer survivors indicates a digital divide. The online landscape and patterns of information consumption, however, have notably changed over the past decade necessitating an updated examination of health-related internet use (HRIU) among cancer survivors. METHODS: Using survey data from 2003, 2005, 2007, 2011, 2013, 2017, and 2018 Health Information National Trends Survey (HINTS) iterations, the objectives of this study were to report prevalence, trends, and user profiles in HRIU in terms of emailing doctors, buying medicine online, and support group participation. Descriptive analyses and weighted multivariate logistic regression analyses were performed. RESULTS: Cancer survivors who reported not using the internet were more likely to be older, belong to ethnic minorities, be less educated, and reside in rural areas as compared with those who reported using the internet. Except for participation in online support groups, all other types of HRIU increased in prevalence across the years. CONCLUSIONS: Consistent with the increased penetration of the internet and the altered online health communication landscape, we found increased prevalence of HRIU among cancer survivors. However, the digital divide persists in terms of internet access. These findings can inform initiatives to bridge the gap among survivors of varying profiles in using the internet for their health needs. IMPLICATIONS FOR CANCER SURVIVORS: There is increased reliance on online platforms to obtain and communicate health-related information. The risk with this approach is potential oversight of ensuring equity in terms of internet access and technology literacy among survivors. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (10.1007/s11764-020-00913-8) contains supplementary material, which is available to authorized users.",d2s5d0ni
Severity and risk of COVID??9 in cancer patients: An evidence based learning,cancer,"The immune system of cancer patient gets compromised because of cancer therapy, surgery and malignancy and thus the probability of infection are increased than the general patients. Immunosuppression can expose cancer patients to serious complications which can lead to delay in diagnosis and unnecessary hospitalizations that may adversely affect the prognosis of the disease. Patients who received chemotherapy or surgery within the 30 days before COVID??9 pandemic have more risk of infection than the patients who had not undergone chemotherapy or surgery. This article is protected by copyright. All rights reserved.",uzq7cetp
The risk and prognosis of COVID-19 infection in cancer patients: A systematic review and meta-analysis,cancer,"Numerous studies have been published regarding outcomes of cancer patients infected with the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) virus causing the coronavirus disease 2019 (COVID-19) infection. However, most of these are single-center studies with a limited number of patients. To better assess the outcomes of this new infection in this subgroup of susceptible patients, we performed a systematic review and meta-analysis to evaluate the impact of COVID-19 infection on cancer patients. We performed a literature search using PubMed, Web of Science, and Scopus for studies that reported the risk of infection and complications of COVID-19 in cancer patients and retrieved 22 studies (1018 cancer patients). The analysis showed that the frequency of cancer among patients with confirmed COVID-19 was 2.1% (95% confidence interval [CI]: 1.3-3) in the overall cohort. These patients had a mortality of 21.1% (95% CI: 14.7-27.6), severe/critical disease rate of 45.4% (95% CI: 37.4-53.3), intensive care unit (ICU) admission rate of 14.5% (95% CI: 8.5-20.4), and mechanical ventilation rate of 11.7% (95% CI: 5.5-18). The double-arm analysis showed that cancer patients had a higher risk of mortality (odds ratio [OR]???=???3.23, 95% CI: 1.71-6.13), severe/critical disease (OR???=???3.91, 95% CI: 2.70-5.67), ICU admission (OR???=???3.10, 95% CI: 1.85-5.17), and mechanical ventilation (OR???=???4.86, 95% CI: 1.27-18.65) than non-cancer patients. Furthermore, cancer patients had significantly lower platelet levels and higher D-dimer levels, C-reactive protein levels, and prothrombin time. In conclusion, these results indicate that cancer patients are at a higher risk of COVID-19 infection-related complications. Therefore, cancer patients need diligent preventive care measures and aggressive surveillance for earlier detection of COVID-19 infection.",viszk7hd
Which type of cancer patients are more susceptible to the SARS-COX-2: evidence from a meta-analysis and bioinformatics analysis,cancer,"OBJECTIVE: Numerous studies have reported that patients with cancer seem to be more likely to be diagnosed with COVID-19. However, it is still unknown the prevalence of different types of cancer in patients with COVID-19. Therefore, this study will explore which type of cancer patients are more susceptible to the SARS-COX-2. METHODS: Eligible studies were identified by searching several electronic databases for relevant studies published before April 28, 2020. The language was restricted to English or Chinese. The meta-analysis was performed using Stata 12.0. The GEPIA database evaluated the expression of SARS-COX-2 infection key genes in different types of normal and tumor samples. RESULTS: A total of 6 studies, including 205 patients, were identified to be eligible for this meta-analysis. Among the cancer patients infected by SARS-COX-2, the proportion of patients with the lung, colorectal,breast,esophagus,bladder,pancreatic and cervical cancer were 24.7%, 20.5%, 13.0%, 7.6%,7.3%,6.1%,and 6.0%, respectively. These findings were also corroborated by the results of the GEPIA database. CONCLUSION: Compared with other types of cancer, lung cancer and colorectal cancer are more susceptible to SARS-COX-2 infection.",moh0f5gl
"A prospective cohort study that examined acute kidney injury and kidney outcomes, cardiovascular events and death informs on long-term clinical outcomes.",kidney,"Acute kidney injury (AKI) has been reported to be associated with excess risks of death, kidney disease progression and cardiovascular events although previous studies have important limitations. To further examine this, we prospectively studied adults from four clinical centers surviving three months and more after hospitalization with or without AKI who were matched on center, pre-admission CKD status, and an integrated priority score based on age, prior cardiovascular disease or diabetes mellitus, preadmission estimated glomerular filtration rate (eGFR) and treatment in the intensive care unit during the index hospitalization between December 2009-February 2015, with follow-up through November 2018. All participants had assessments of kidney function before (eGFR) and at three months and annually (eGFR and proteinuria) after the index hospitalization. Associations of AKI with outcomes were examined after accounting for pre-admission and three-month post-discharge factors. Among 769 AKI (73% Stage 1, 14% Stage 2, 13% Stage 3) and 769 matched non-AKI adults, AKI was associated with higher adjusted rates of incident CKD (adjusted hazard ratio 3.98, 95% confidence interval 2.51-6.31), CKD progression (2.37,1.28-4.39), heart failure events (1.68, 1.22-2.31) and all-cause death (1.78, 1.24-2.56). AKI was not associated with major atherosclerotic cardiovascular events in multivariable analysis (0.95, 0.70-1.28). After accounting for degree of kidney function recovery and proteinuria at three months after discharge, the associations of AKI with heart failure (1.13, 0.80-1.61) and death (1.29, 0.84-1.98) were attenuated and no longer significant. Thus, assessing kidney function recovery and proteinuria status three months after AKI provides important prognostic information for long-term clinical outcomes.",v6n4lzjh
Acute Kidney Injury in Hospitalized Patients with COVID-19,kidney,"Importance: Preliminary reports indicate that acute kidney injury (AKI) is common in coronavirus disease (COVID)-19 patients and is associated with worse outcomes. AKI in hospitalized COVID-19 patients in the United States is not well-described. Objective: To provide information about frequency, outcomes and recovery associated with AKI and dialysis in hospitalized COVID-19 patients. Design: Observational, retrospective study. Setting: Admitted to hospital between February 27 and April 15, 2020. Participants: Patients aged [??18 years with laboratory confirmed COVID-19 Exposures: AKI (peak serum creatinine increase of 0.3 mg/dL or 50% above baseline). Main Outcomes and Measures: Frequency of AKI and dialysis requirement, AKI recovery, and adjusted odds ratios (aOR) with mortality. We also trained and tested a machine learning model for predicting dialysis requirement with independent validation. Results: A total of 3,235 hospitalized patients were diagnosed with COVID-19. AKI occurred in 1406 (46%) patients overall and 280 (20%) with AKI required renal replacement therapy. The incidence of AKI (admission plus new cases) in patients admitted to the intensive care unit was 68% (553 of 815). In the entire cohort, the proportion with stages 1, 2, and 3 AKI were 35%, 20%, 45%, respectively. In those needing intensive care, the respective proportions were 20%, 17%, 63%, and 34% received acute renal replacement therapy. Independent predictors of severe AKI were chronic kidney disease, systolic blood pressure, and potassium at baseline. In-hospital mortality in patients with AKI was 41% overall and 52% in intensive care. The aOR for mortality associated with AKI was 9.6 (95% CI 7.4-12.3) overall and 20.9 (95% CI 11.7-37.3) in patients receiving intensive care. 56% of patients with AKI who were discharged alive recovered kidney function back to baseline. The area under the curve (AUC) for the machine learned predictive model using baseline features for dialysis requirement was 0.79 in a validation test. Conclusions and Relevance: AKI is common in patients hospitalized with COVID-19, associated with worse mortality, and the majority of patients that survive do not recover kidney function. A machine-learned model using admission features had good performance for dialysis prediction and could be used for resource allocation.",jvood8ur
COVID-19 Pandemic Causing Acute Kidney Injury and Impact on Patients With Chronic Kidney Disease and Renal Transplantation,kidney,"Coronavirus disease 2019 (COVID-19) caused by 2019 novel coronavirus (2019-nCoV) has caused significant mortality and has been declared as a global pandemic by the World Health Organization The infection mainly presents as fever, cough, and breathing difficulty, and few patients develop very severe symptoms The purpose of this review is to analyze the impact of the virus on the kidney COVID-19 infection causes acute kidney injury (AKI) and is an independent risk factor for mortality Angiotensin-converting enzyme 2 (ACE2) receptors, direct viral damage, and immune-mediated damage play important roles in the pathogenesis AKI in COVID-19 infection could be from the synergistic effect of virus-induced direct cytotropic effect and cytokine-induced systemic inflammatory response AKI caused in the viral infection has been analyzed from the available epidemiological studies The proportion of patients developing AKI is significantly higher when they develop severe disease Continuous renal replacement therapy (CRRT) is the most used blood purification technique when needed The impact of COVID-19 infection on chronic kidney disease (CKD) and renal transplant patients is also discussed in the manuscript No vaccine has been developed against the 2019-nCoV virus to date The critical aspect of management is supportive care Several investigative drugs have been studied, drugs approved for other indications have been used, and several clinical trials are underway across the globe Recently remdesivir has received emergency use authorization by the Food and Drug Administration (FDA) in the USA for use in patients hospitalized with COVID-19 Prevention of the infection holds the key to management The patients with underlying kidney problems and renal transplant patients are vulnerable to developing COVID-19 infection",7ry15vq8
COVID-19 and the kidney: what we think we know so far and what we don??,kidney,"The novel coronavirus disease infection (COVID-19) outbreak that was declared a global pandemic in March 2020 had led to an internationally variable but concerning incidence of COVID-associated acute kidney injury (AKI), with prevalence reported as high as 46% in large cohorts of hospitalized patients. Variability in AKI may be explained by differences in traditional risk factors for AKI, heterogeneity among patient cohorts, and differences in racial and ethnic groups. Further, AKI requiring kidney replacement therapies (KRT) has been associated with increased mortality. Proposed mechanisms of kidney injury include direct viral-induced tubular or glomerular injury, sepsis-associated AKI, and thrombotic disease. Kidney pathology include acute tubular injury, glomerular fibrin thrombi, pigmented tubular casts, and collapsing focal segmental glomerulosclerosis. ??iral-like??particles have been observed in renal samples at electron microscopy and viral RNA has been identified in both glomerular and tubular compartments of kidney specimens, but the link between viral presence and injury remain unclear. Though the link between AKI and poor outcomes is clear, prevalence and outcomes of COVID-19 in patients with chronic kidney disease and end stage kidney disease has not yet been reported. In patients on immunosuppression like those with kidney transplants or glomerular disease, COVID-19 has presented a management dilemma. Herein, we review the existing literature on kidney disease in COVID-19 and discuss what remains to be learned.",q4a9c13e
COVID-19 pandemic: The role of community pharmacists in chronic kidney disease management supportive care,kidney,"The COVID-19 pandemic is putting enormous pressure on healthcare systems worldwide and various countries are struggling to flatten the curve to prevent their healthcare system from becoming overwhelmed. Studies have shown that people with chronic kidney disease (CKD) are at increased risk of COVID-19 infection and mortality. However, the interruption of routine care and support due to the current challenges with healthcare providers, facilities, and essential medicines due to this pandemic is adversely affecting people with CKD. This is because poor management of this disease leads to negative health outcomes. In order to maintain good health, this vulnerable group of patients rely heavily on the extended role of the community pharmacists in chronic disease management. This paper highlights the extended role of the community pharmacists in CKD management supportive care during the COVID-19 pandemic.",nb87g2ck
COVID??9 and kidney transplantation: Results from the TANGO International Transplant Consortium,kidney,"Kidney transplant recipients may be at a high risk of developing critical coronavirus disease 2019 (COVID??9) illness due to chronic immunosuppression and comorbidities. We identified hospitalized adult kidney transplant recipients at 12 transplant centers in the United States, Italy, and Spain who tested positive for COVID??9. Clinical presentation, laboratory values, immunosuppression, and treatment strategies were reviewed, and predictors of poor clinical outcomes were determined through multivariable analyses. Among 9845 kidney transplant recipients across centers, 144 were hospitalized due to COVID??9 during the 9??eek study period. Of the 144 patients, 66% were male with a mean age of 60 (?12) years, and 40% were Hispanic and 25% were African American. Prevalent comorbidities included hypertension (95%), diabetes (52%), obesity (49%), and heart (28%) and lung (19%) disease. Therapeutic management included antimetabolite withdrawal (68%), calcineurin inhibitor withdrawal (23%), hydroxychloroquine (71%), antibiotics (74%), tocilizumab (13%), and antivirals (14%). During a median follow??p period of 52 days (IQR: 16??6 days), acute kidney injury occurred in 52% cases, with respiratory failure requiring intubation in 29%, and the mortality rate was 32%. The 46 patients who died were older, had lower lymphocyte counts and estimated glomerular filtration rate levels, and had higher serum lactate dehydrogenase, procalcitonin, and interleukin?? levels. In sum, hospitalized kidney transplant recipients with COVID??9 have higher rates of acute kidney injury and mortality.",p2lwocse
COVID??9 pneumonia in kidney transplant recipients: Focus on immunosuppression management,kidney,"BACKGROUND: The coronavirus disease of 2019, also known as COVID??9, has been declared a global pandemic. Significant controversies exist regarding treatment modalities for this novel disease, especially in immunocompromised patients. Experience with management of COVID??9 in kidney transplant recipients is scarce; effects of this virus on immunosuppressed individuals are not well understood. METHODS: We identified 30 renal transplant recipients with confirmed COVID??9 pneumonia who were admitted to inpatient between March 2020 and April 2020. All patients received a 5??ay course of hydroxychloroquine and azithromycin; half of the patients received methylprednisolone. During hospitalization, calcineurin inhibitors and antimetabolites were held; prednisone was continued. RESULTS: Clinical presentation of flu??ike symptoms was similar to those in the general population. Hyponatremia, lymphopenia, acute kidney injury, and elevated inflammatory markers were common. Over the course of follow??p, 23 have been discharged home with a functioning allograft and in stable condition; 4 experienced acute kidney injury requiring renal replacement therapy; 7 patients were intubated, and 6 expired. The mortality rate in our cohort was 20%. CONCLUSION: Our findings described the characteristics and outcomes of this highly fatal illness in a multi??thnic kidney transplant cohort, with insights on immunosuppression management that could further our understanding of this unique disease in immunocompromised populations.",e92omqyr
