id,text
fbi4,"Report Date 13 April, 2003. FBI from Army CID: A man who gave his name as Wallace Wilson was arrested at 1730hrs on 10 April, 2003 at Camp George West Military Reservation in Denver, Colorado. Wilson was able to obtain access to this military reservation using personal identification in the form of a Colorado driver's license and a Social Security card. He also used identification for the truck he was driving that is owned by his employer, the Apex Paper Products Company in Denver, Colorado. This company has a contract to supply paper products to Camp George West. A man by the name Wallace Wilson is known to be a member of a domestic militia group known as Aryan Nations. Wilson was arrested by MPs when he was seen loading boxes on his Apex truck. The boxes were being taken from an apparently unlocked storage facility at Camp George West. The boxes contained 50 Cat ammunition and several land mines"
fbi3,"Report Date: 8 April, 2003. FBI: On 7 April, 2003 at 0600 hrs. Police began tailing a panel truck rented from Ryder Truck Rental in Culver City, California. According to Ryder, this truck was rented on 1 April, 2C03 by a man who gave the name Karm Bensaid. Bensaid showed a California drivers' license and gave his home address as 452 Hubbard St. in Culver City. Bensaid told the Rvder sales aren't that he would need a small truck for two days to move some item: of furniture from Culver City to San Gabriel, California. When the buck was still not returned on 6 April, the Ryder agent notified Los Angeles police who, in turn, notified the FBI. On 6 April, 2003 an alert LA police officer noticed the truck parked in front of an apartment complex on Greenlawn Ave. in Culver City. On 7 April, two men were observed to enter this rental truck. They drove south on US 405 and exited right at Imperial Highway. They then turned left on Sheldon St. and stopped at the City Park in El Segundo, California. At this point the two men were apprehended by police and FBI agents. In the truck were found two pairs of binoculars, maps of the Los Angeles area, and flight schedules to and from LAX."
fbi25,"Report Date 27 April, 2003. FBI [From police in North Bergen, NJ]: In the early morning hours of April 26, 2003 a passerby reported a fire in a carpet shop that is managed by a Hani al Hallak of North Bergen . The fire seems to have been started the night before when someone tossed a cigarette butt into a waste basket in the basement of the shop. While firemen were extinguishing the blaze, they discovered several cartons labeled: PRIVATE: DO NOT OPEN. These cartons contained C-4 explosive. Attempts to reach Hani ai Hallak have not been successful. An employee at the carpet shop later told police that al Hallak had just gone on a vacation in Canada and that he had left no address."
fbi24,"Report Date 27 April, 2003. FBI: In an examination of storage unit #I74 at the Budget Storage Units in Keswick, VA, fifty pounds of C-4 plastic explosive were found along with some fusing devices."
fbi23,"Report Date 27 April, 2003. FBI: A man named Carl Louis, whose residence is at 3410 Van Dyke Avenue in Detroit Michigan, was arrested by Detroit police for helping foreigners obtain Michigan drivers' licenses using forged documents. Carl Louis is specifically charged with providing forged documents for a Lebanese national named Abdelhak Kherbane, who was arrested in connection with the attempted bombing on 2 April of the Beth Israel synagogue in Detroit, Michigan."
fbi22,"Report Date 27 April, 2003. FBI: A photo of the man using the name Mark Davis was examined by a representative of the Canadian police in NYC. The Canadian police investigator identified the man in the photo to be Hamid Alwan, a Saudi who overstayed a travel visa and is wanted by the police in Canada. It is now known that Alwan received explosives training in the Sudan and in Afghanistan."
fbi21,"Report Date 26 April, 2003. Coast Guard intelligence to FBI and CIA: A routine reporting of ships bound for the USA. This report contains departure date, place, destination, cargo manifest and crew roster and is required 96 hours before arrival in ports in the USA. Report from Amsterdam on 25 April, 2003 lists one container ship bound for the US, the Holland Queen, which is bound for Boston. Arrival time in Boston of the Holland Queen is 29 April, 1930hrs."
fbi20,"Report Date 26 April, 2003. FBI: A check of rented storage facilities in the Richmond and Charlottesville areas reveals that a man giving his name as Abdulla Ramzi rented storage unit # 174 on 10 April, 2003 at the Budget Storage Units in Keswick, VA. Ramzi gave his address as 2932 University Drive, Charlottesville, VA. Ramzi paid in cash for a month's rental."
fbi2,"Report Date: 5 April, 2003. FBI: Passport control at Dulles Airport in Washington DC records that Abdul Ramazi, holder of US passport # 177183634 [issued by Passport Agency, Wash. DC on 12 Feb. 19971 has made three trips to Amsterdam, two trips to Hamburg, Germany, and three trips to Cairo, Egypt in the last five months. The address given by Ramazi on his passport is 1176 Floyd Ave., Springfield, VA. Phone number at this address is 703-734-0104."
fbi19,"Report Date 25 April, 2003. FBI: A report from AMTRAK reveals a reservation, paid in cash in Charlottesville, and made by Faysal Goba on 23 April, 2003. Reservation is for three one-way first class tickets and one sleeping compartment from Charlottesville, VA to Atlanta, GA on 29 April, 2003. Reservation is on AMTRAK Train # 19, which runs between Penn Station NYC and New Orleans, LA. Reservations are in the names: Faysal Goba, Mukhtar Galab and Yasein Mosed."
fbi18,"Report dated 25 April, 2003. FBI: A U-Haul truck was found abandoned on Colfax Avenue in Denver, Colorado nor far from the Camp George West Military Reservation. The truck had two blown front tires. Examination of the truck's contents revealed 16 land mines. The U-haul rental Agency in Denver was contacted and they reported that this truck had been rented in Denver on 20 April, 2003 by a man who used, as identification, a Colorado driver's license in the name Masood Yaser. The address on this license is: 1660 Coal Mine Road, Apartment 206. The owner of this apartment complex stated on 22 April, 2003 that Masood Yaser had rented Apartment # 206, but had left one week ago and did not leave a forwarding address."
fbi17,"Report Date 22 April, 2003. FBI: There is no residence with address 1631 Capitol Ave. in Richmond, Virginia. The phone number given for this address [804-759-6302] is in fact a Sprint cell phone registered in the name Faysal Goba."
fbi16,"Report Date 22 April, 2003. FBI: Hani al Hallak, of North Bergen NJ, has deposited checks in his bank account that were drawn on First Union Bank account number 1070173749003 in Springfield VA in the name Abdul Ramazi. The latest check is dated 16 April, 2003 and was in the amount of $8500."
fbi15,"Report Date 20 April, 2003: FBI: Mukhtar Galab has an account at the Virginia National Bank in Charlottesville, VA. Bank records say he has deposited several checks in the last three months, totaling $13,000, drawn on account number 1070173749003 held by Abdul Ramazi at the First Union Bank in Springfield, VA."
fbi14,"Report Date 20 April, 2003. FBI: Security officers at O'Hare airport in Chicago, Illinois arrested two American Airlines baggage handlers named Omar Clark and Joseph Nizar. They were observed opening luggage that was about to be transferred from a United Connector flight from Green Bay, Wisconsin to a United flight into New York City. Their backgrounds are now being investigated by the FBI."
fbi13,"Report Date 20 April, 2003. FBI: Also listing 2462 Myrtle Ave. Apt. 307, Queens, NYC as his home address is Bagwant Dhaliwal, who is also employed by Empire State Vending Services in Manhattan."
fbi12,"Report Date 19 April, 2003. FBI: In an interview with Shiela Watson, she said she simply made a mistake in listing her home address on her NYSE vendors' ID application. She had recently moved and gave her earlier address by mistake."
fbi11,"Report Date 18 April, 2003. FBI: An INS check of expired student visas reveals the names Mukhtar Galab and Yasein Mosed. They have been enrolled at the University of Virginia in Charlottesville, Virginia. Checks with the University of Virginia reveal that these two persons have not attended any classes for the past two semesters. The address they both gave to the University of Virginia is 2932 University Drive, Charlottesville, VA. There is presently no one living at this address. A check with mobile phone providers shows that a Sprint cell phone # 804-774-8920 is registered in the name Mukhtar Galab."
fbi10,"Report Date April 18, 2003. FBI: A routine check of security at the New York Stock Exchange lNYSEl reveals some anomalies in background checks of several persons who now hold vendor's IDS that allow them access to the NYSE provided that they are accompanied by security guards. (i) A man named Steven Clark, employed by the City Computer Services Corp. failed, in his application for a NYSE vendor's ID, to report his arrest and conviction [I2 December, 20011 on a charge of assault and battery. He served six months in jail and is now out on probation. (ii) Shiela Watson, employed by the Clark & Co. Office Supplies Co., gave her current home address on her application for a vendor's ID as: 1631 Webster Ave.. The Bronx. NYC. There is no one by the name Shiela Watson at this residence. (iii) A man named Mark Davis, reported age 32 years, obtained a social security card and a New York State Driver's license in 1999 using a birth certificate now believed to have been forged. He is employed by Empire State Vending Services in Manhattan and he services vending machines such as coffee, soft drink, and candy machines. He lists his home address as: 2462 Myrtle Ave. Apt. 307, Queens, NYC."
fbi1,"Report Date: 1 April, 2003. FBI: Abdul Ramazi is the owner of the Select Gourmet Foods shop in Springfield Mall, Springfield, VA. [Phone number 703-659-2317]. First Union National Bank lists Select Gourmet Foods as holding account number 1070173749003. Six checks totaling $35,000 have been deposited in this account in the past four months and are recorded as having been drawn on accounts at the Pyramid Bank of Cairo, Egypt and the Central Bank of Dubai, United Arab Emirates. Both of these banks have just been listed as possible conduits in money laundering schemes."
cia9,"Report date 25 April, 2003. CIA [From Dutch security]: Analysis of radioactive particles found in truck driven by Tawfiq al Adel and Saeed Khallad, and in the storage unit rented by Saleh al Ahdal and Riduan bin Attash, reveals them to be powdered cesium 137. One ounce of this substance could spread radioactive fallout over 60 city blocks."
cia8,"Report Date 24 April, 2003. CIA [From Dutch Security]: An address in Haarlem was found in the truck driven by Tawfiq al Adel and Saeed Khallad. This address is for an apartment rented in Haarlem by, two Saudi's who hold Dutch passports. Jelte Nijboer [the apartment owner] says they also rent storage unit # 206. The two men al Ahdal and bin Attash are employed as container loaders at Sealink Container Corp. in Amsterdam. This corporation owns a large fleet of containers that are shipped all over the world and subsequently hauled on trains or trucks. Inspection of unit # 206 on 23 April, 2003 reveals radiation traces, one pair of lead gloves, and two sticks of TNT. Also found are pieces of a wooden crate. Pieces of this crate, also revealing radioactive traces, are labeled and identify a company in Lublin, Poland."
cia7,"Report Date 22 April, 2003. CIA [From Dutch Security]: Two men were arrested on April 20, 2003 by Dutch police in Haarlem, The Netherlands after leaving the scene of an accident in which they were involved. Later on April 21, 2003 these men were identified as Tawfiq al Adel and Saeed Khaliad who have been wanted in Hamburg. Germany in connection with investigations of Al Qaeda operations in Europe. They were driving a panel truck rented in Hamburg, Germany. Radioactive traces were found in bed of this truck."
cia6,"Report Date 22 April, 2003: CIA From German Intelligence: On 20 April, 2003, German intelligence reported that a container chosen at random for inspection at the docks in Bremerhaven, Germany contained a crate in which there were four Stinger missiles. The box was addressed to Marvel Corporation, 1632 Trenton Avenue, Trenton, New Jersey, USA. The shipper's address was given as: 16 Rhinelander Platz., Hamburg, Germany. German intelligence advises that there is no such address in Hamburg. The serial numbers on the four Stinger missiles identifies them as being from among the nearly 400 Stinger missiles, now missing, which were given in the late 1980s to Taliban fighters in Afghanistan."
cia5,"Report Date 20 April, 2003. CIA: On 19 April, a car bomb was set off near the American Diplomatic Mission Headquarters in Buenos Aires. There were no casualties since the bomb seems to have gone off prematurely. The driver of the car carrying the bomb Survived. He has been identified as Jamil Musawi, who is known to be a member of Hezboliah. This organization has had a presence in several Latin American countries."
cia4,"Report Date 14 April, 2003. CIA: From an interrogation of a cooperative detainee in Guantanamo. Detainee says he trained daily with a man named Ziad al Shibh at an Al Qaeda explosives training facility in the Sudan in 1994. From a captured laptop computer in Afghanistan it is learned that Ziad al Shibh holds a United Arab Emirates passport in the name Faysal Goba. INS check reveals that a Faysal Goba, from the United Arab Emirates, entered the USA on a travel visa in January of 2003 stating that he would be visiting a person named Clark Webster in Richmond, Va. The contact address given by Goba was: 1631 Capitol Ave., Richmond VA; phone number: 804-759-6302."
cia3,"Report Date 12 April, 2003. CIA From French Intelligence: Acting on a tip from an unnamed source, French police arrested an Egyptian named Muhammad Shamzi at his home at 16 Rue St. Sebastien in Paris on 8 April, 2002. In his home police found 200 US and 180 British blank passports. In addition, on the hard drive of Shamzi's laptop computer was a record of a US and British passports that Shamzi had apparently forged. One of these passports was made out in the name Masood Yaser, whose address was listed as 1660 Coal Mine Road, Apartment 206, Denver, Colorado, USA. Another US passport forged was in the name Vincent Lozario, 2229 Marshall Avenue. Minneapolis, Minnesota, USA. A third forged US passport was in the name Khalfan Maulid, 656 Laurel Avenue, Bowling Green, Kentucky, USA."
cia2,"Report Date: 9 April, 2003. CIA [From a detainee at Guantanamo, Cuba who has given the name Abdul al Hada]: During an interview with CIA officers in March of 2003, al Hada is reported to have said: ""In April 2003 there is not such good weather for flying"". Asked what he meant by this statement, the detainee said: ""That's for you to figure out"". The detainee would not elaborate further."
cia11,"Report Date 27 April, 2003. CIA: From a laptop computer captured in Afghanistan it was learned that a Pakistani named Sahim Albakri, who fought with the Taliban in 1990 - 1992, travels using an Indian passport in the name Bagwant Dhaliwal. On this same computer was found the name Muhammed bin Harazi, who served with the Taliban from 1987 - 1993. Records on this computer reveal that Muhammed bin Harazi entered the USA in March, 1993 and uses the alias Abdul Ramazi."
cia10,"Report Date 27 April, 2003. CIA: The Holland Queen crew roster lists a person named Hans Pakes as being aboard the Holland Queen. Pakes works in the ship's galley. From an Al Qaeda laptop computer captured in Afghanistan there is a roster of trainees In an explosives training unit in Kandahar, 1996. Abu al Masri, a Yemeni is listed on this roster. The record says he left for The Netherlands in January 1996. He is using the alias: Hans Pakes."
cia1,"Report Date: 1 April, 2003. CIA [From ME]: On 30 March, 2003 the British Special Branch arrested Omar Bakri Qatada at his home at #11 St. Mary's Terrace, Paddington, London. Found in Qatada's bedroom was a small carton holding 10 ounces of Pentaerythritol [PETN] and Triacetone Triperoxide [TATP]. This is the same explosive that Richard Reid attempted to use on American Airlines #63 from Paris to Miami on 22 December, 2001. The BSB were alerted to follow and detain Qatada on the basis of information obtained from a respected moderate Moslem cleric in London, whose name was not provided in this report from M15."
